[Fila 001] Saltado         : ya existe 11111111-1
[Fila 236] Saltado         : ya existe 13252458-0
[Fila 237] Saltado         : ya existe 32111791-0
[Fila 238] Saltado         : ya existe 24463677-2
[Fila 239] Saltado         : ya existe 21888253-6
[Fila 240] Saltado         : ya existe 24212940-7
[Fila 241] Saltado         : ya existe 23794303-1
[Fila 242] Saltado         : ya existe 25670747-0
[Fila 243] Saltado         : ya existe 38985551-0
[Fila 244] Saltado         : ya existe 34463726-1
[Fila 245] Saltado         : ya existe 11817683-9
[Fila 246] Saltado         : ya existe 32594364-5
[Fila 247] Saltado         : ya existe 31926327-6
[Fila 248] Saltado         : ya existe 31682194-4
[Fila 249] Saltado         : ya existe 13302355-0
[Fila 250] Saltado         : ya existe 12033823-4
[Fila 251] Saltado         : ya existe 23509728-1
[Fila 252] Saltado         : ya existe 34434793-K
[Fila 253] Saltado         : ya existe 21385106-3
[Fila 254] Saltado         : ya existe 36863426-3
[Fila 255] Saltado         : ya existe 38912932-1
[Fila 256] Saltado         : ya existe 13666460-3
[Fila 257] Saltado         : ya existe 18343522-1
[Fila 258] Saltado         : ya existe 16428696-7
[Fila 259] Saltado         : ya existe 16382351-9
[Fila 260] Saltado         : ya existe 27994763-0
[Fila 261] Saltado         : ya existe 25052972-4
[Fila 262] Saltado         : ya existe 14703737-6
[Fila 263] Saltado         : ya existe 24155998-K
[Fila 264] Saltado         : ya existe 16156836-8
[Fila 265] Saltado         : ya existe 19346424-6
[Fila 266] Saltado         : ya existe 25523222-3
[Fila 267] Saltado         : ya existe 18382113-K
[Fila 268] Saltado         : ya existe 39342879-1
[Fila 269] Saltado         : ya existe 12529497-9
[Fila 270] Saltado         : ya existe 24869000-3
[Fila 271] Saltado         : ya existe 37112727-5
[Fila 272] Saltado         : ya existe 38902079-6
[FILA 273] RECHAZADO       : valor no reconocido: False
[FILA 274] RECHAZADO       : RUT inválido
[Fila 275] Saltado         : ya existe 13285271-5
[Fila 276] Saltado         : ya existe 11697462-2
[Fila 277] Saltado         : ya existe 31882351-0
[FILA 278] RECHAZADO       : Fecha inválida: 10/20/1969
[Fila 279] Saltado         : ya existe 38052430-9
[Fila 280] Saltado         : ya existe 10495191-0
[Fila 281] Saltado         : ya existe 13129379-8
[Fila 282] Saltado         : ya existe 35285462-K
[Fila 283] Saltado         : ya existe 38477503-9
[Fila 284] Saltado         : ya existe 17931579-3
[Fila 285] Saltado         : ya existe 15580474-2
[Fila 286] Saltado         : ya existe 23636992-7
[Fila 287] Saltado         : ya existe 26295412-9
[Fila 288] Saltado         : ya existe 26151708-6
[Fila 289] Saltado         : ya existe 17172169-5
[Fila 290] Saltado         : ya existe 39012852-5
[Fila 291] Saltado         : ya existe 23456679-2
[Fila 292] Saltado         : ya existe 11967477-8
[Fila 293] Saltado         : ya existe 15524305-8
[Fila 294] Saltado         : ya existe 22716227-9
[FILA 295] RECHAZADO       : Talla inválida: 6
[Fila 296] Saltado         : ya existe 23100380-0
[Fila 297] Saltado         : ya existe 18898737-0
[FILA 298] RECHAZADO       : RUT inválido
[Fila 299] Saltado         : ya existe 36344569-1
[Fila 300] Saltado         : ya existe 25267547-7
[Fila 301] Saltado         : ya existe 19571375-8
[Fila 302] Saltado         : ya existe 24193775-5
[Fila 303] Saltado         : ya existe 33373732-9
[Fila 304] Saltado         : ya existe 34511690-7
[Fila 305] Saltado         : ya existe 36285251-K
[FILA 306] IGNORADO        : fila vacía
[Fila 307] Saltado         : ya existe 28648490-5
[Fila 308] Saltado         : ya existe 32208715-2
[Fila 309] Saltado         : ya existe 34105781-7
[Fila 310] Saltado         : ya existe 26329982-5
[Fila 311] Saltado         : ya existe 15194119-2
[FILA 312] RECHAZADO       : Talla inválida: XXXL
[Fila 313] Saltado         : ya existe 19955862-5
[Fila 314] Saltado         : ya existe 17304829-7
[Fila 315] Saltado         : ya existe 11962373-1
[Fila 316] Saltado         : ya existe 29434065-3
[Fila 317] Saltado         : ya existe 34687243-8
[Fila 318] Saltado         : ya existe 28193052-4
[Fila 319] Saltado         : ya existe 12045396-3
[Fila 320] Saltado         : ya existe 35097895-K
[Fila 321] Saltado         : ya existe 20522831-4
[Fila 322] Saltado         : ya existe 11918148-8
[Fila 323] Saltado         : ya existe 11682497-3
[Fila 324] Saltado         : ya existe 29601747-7
[Fila 325] Saltado         : ya existe 25998367-3
[Fila 326] Saltado         : ya existe 26872858-9
[Fila 327] Saltado         : ya existe 38612531-7
[Fila 328] Saltado         : ya existe 27821635-7
[Fila 329] Saltado         : ya existe 15282565-K
[Fila 330] Saltado         : ya existe 11908561-6
[FILA 331] RECHAZADO       : Talla inválida: XXXL
[Fila 332] Saltado         : ya existe 12688094-4
[FILA 333] RECHAZADO       : Fecha inválida: 17.11.2023
[FILA 334] RECHAZADO       : valor no reconocido: False
[FILA 335] RECHAZADO       : RUT inválido
[Fila 336] Saltado         : ya existe 29966065-6
[FILA 337] IGNORADO        : fila vacía
[Fila 338] Saltado         : ya existe 12280388-0
[FILA 339] IGNORADO        : fila vacía
[Fila 340] Saltado         : ya existe 32656373-0
[Fila 341] Saltado         : ya existe 38917853-5
[FILA 342] RECHAZADO       : Fecha inválida: 29 de enero de 2021
[Fila 343] Saltado         : ya existe 23548459-5
[Fila 344] Saltado         : ya existe 14022727-7
[Fila 345] Saltado         : ya existe 39873085-2
[Fila 346] Saltado         : ya existe 29115134-5
[Fila 347] Saltado         : ya existe 18261616-8
[Fila 348] Saltado         : ya existe 29425300-9
[Fila 349] Saltado         : ya existe 29948752-0
[Fila 350] Saltado         : ya existe 11333508-4
[Fila 351] Saltado         : ya existe 30782994-0
[Fila 352] Saltado         : ya existe 12750906-9
[Fila 353] Saltado         : ya existe 24066853-K
[Fila 354] Saltado         : ya existe 32057783-7
[FILA 355] RECHAZADO       : Fecha inválida: 08/22/1968
[Fila 356] Saltado         : ya existe 28965868-8
[FILA 357] RECHAZADO       : RUT inválido
[FILA 358] RECHAZADO       : RUT inválido
[FILA 359] RECHAZADO       : RUT inválido
[Fila 360] Saltado         : ya existe 16853801-4
[Fila 361] Saltado         : ya existe 32472274-2
[FILA 362] RECHAZADO       : Parte numérica inválida
[Fila 363] Saltado         : ya existe 20542261-7
[FILA 364] RECHAZADO       : Talla inválida: XS
[Fila 365] Saltado         : ya existe 18912544-5
[Fila 366] Saltado         : ya existe 23280369-K
[Fila 367] Saltado         : ya existe 14391546-8
[Fila 368] Saltado         : ya existe 32538183-3
[FILA 369] RECHAZADO       : valor no reconocido: True
[Fila 370] Saltado         : ya existe 20066231-8
[Fila 371] Saltado         : ya existe 25341910-5
[Fila 372] Saltado         : ya existe 20609146-0
[Fila 373] Saltado         : ya existe 35228385-1
[FILA 374] RECHAZADO       : RUT inválido
[Fila 375] Saltado         : ya existe 10312574-K
[Fila 376] Saltado         : ya existe 25377510-6
[Fila 377] Saltado         : ya existe 30842645-9
[Fila 378] Saltado         : ya existe 28890931-8
[Fila 379] Saltado         : ya existe 13354814-9
[Fila 380] Saltado         : ya existe 12458221-0
[Fila 381] Saltado         : ya existe 28040017-3
[Fila 382] Saltado         : ya existe 17152271-4
[Fila 383] Saltado         : ya existe 26974673-4
[Fila 384] Saltado         : ya existe 18898649-8
[Fila 385] Saltado         : ya existe 14444504-K
[FILA 386] RECHAZADO       : RUT inválido
[Fila 387] Saltado         : ya existe 39556897-3
[FILA 388] IGNORADO        : fila vacía
[Fila 389] Saltado         : ya existe 12308253-2
[Fila 390] Saltado         : ya existe 39503413-8
[Fila 391] Saltado         : ya existe 18196824-9
[Fila 392] Saltado         : ya existe 22399271-4
[Fila 393] Saltado         : ya existe 19562590-5
[Fila 394] Saltado         : ya existe 15293105-0
[Fila 395] Saltado         : ya existe 24703034-4
[Fila 396] Saltado         : ya existe 37975838-K
[Fila 397] Saltado         : ya existe 28227370-5
[Fila 398] Saltado         : ya existe 33606882-7
[Fila 399] Saltado         : ya existe 20150790-1
[Fila 400] Saltado         : ya existe 30524499-6
[Fila 401] Saltado         : ya existe 37081780-4
[FILA 402] RECHAZADO       : Talla inválida: 10
[Fila 403] Saltado         : ya existe 27748304-1
[Fila 404] Saltado         : ya existe 10262499-8
[Fila 405] Saltado         : ya existe 32409770-8
[Fila 406] Saltado         : ya existe 37417465-7
[Fila 407] Saltado         : ya existe 28609364-7
[Fila 408] Saltado         : ya existe 20045483-9
[Fila 409] Saltado         : ya existe 32259631-6
[FILA 410] IGNORADO        : fila vacía
[Fila 411] Saltado         : ya existe 13475786-8
[Fila 412] Saltado         : ya existe 39465051-K
[Fila 413] Saltado         : ya existe 14506062-1
[Fila 414] Saltado         : ya existe 18874003-0
[Fila 415] Saltado         : ya existe 13873143-K
[Fila 416] Saltado         : ya existe 39853804-8
[Fila 417] Saltado         : ya existe 13591531-9
[Fila 418] Saltado         : ya existe 34911370-8
[Fila 419] Saltado         : ya existe 28563105-K
[Fila 420] Saltado         : ya existe 15215966-8
[Fila 421] Saltado         : ya existe 19138489-K
[FILA 422] RECHAZADO       : Talla inválida: XXL
[Fila 423] Saltado         : ya existe 30294721-K
[Fila 424] Saltado         : ya existe 17067558-4
[Fila 425] Saltado         : ya existe 34079069-3
[Fila 426] Saltado         : ya existe 21505153-6
[Fila 427] Saltado         : ya existe 16831592-9
[Fila 428] Saltado         : ya existe 33068575-1
[Fila 429] Saltado         : ya existe 31281494-3
[Fila 430] Saltado         : ya existe 38619005-4
[Fila 431] Saltado         : ya existe 18857829-2
[Fila 432] Saltado         : ya existe 26958713-K
[Fila 433] Saltado         : ya existe 26392408-8
[Fila 434] Saltado         : ya existe 18426230-4
[Fila 435] Saltado         : ya existe 38390529-K
[Fila 436] Saltado         : ya existe 11704528-5
[Fila 437] Saltado         : ya existe 13097022-2
[Fila 438] Saltado         : ya existe 31283054-K
[FILA 439] RECHAZADO       : Parte numérica inválida
[Fila 440] Saltado         : ya existe 37828304-3
[Fila 441] Saltado         : ya existe 19283847-9
[Fila 442] Saltado         : ya existe 11479306-K
[Fila 443] Saltado         : ya existe 10118973-2
[Fila 444] Saltado         : ya existe 21192300-8
[Fila 445] Saltado         : ya existe 35874467-2
[Fila 446] Saltado         : ya existe 14389579-3
[Fila 447] Saltado         : ya existe 31377977-7
[Fila 448] Saltado         : ya existe 18789760-2
[FILA 449] IGNORADO        : fila vacía
[Fila 450] Saltado         : ya existe 15421791-6
[Fila 451] Saltado         : ya existe 34871582-8
[Fila 452] Saltado         : ya existe 24825539-0
[Fila 453] Saltado         : ya existe 28511323-7
[Fila 454] Saltado         : ya existe 33678270-8
[FILA 455] RECHAZADO       : RUT inválido
[Fila 456] Saltado         : ya existe 28820911-1
[FILA 457] IGNORADO        : fila vacía
[Fila 458] Saltado         : ya existe 10324461-7
[Fila 459] Saltado         : ya existe 13753864-4
[Fila 460] Saltado         : ya existe 12524764-4
[Fila 461] Saltado         : ya existe 39632133-5
[Fila 462] Saltado         : ya existe 33186770-5
[Fila 463] Saltado         : ya existe 15001431-K
[Fila 464] Saltado         : ya existe 28306972-9
[FILA 465] RECHAZADO       : valor no reconocido: True
[Fila 466] Saltado         : ya existe 38004361-0
[Fila 467] Saltado         : ya existe 22388832-1
[Fila 468] Saltado         : ya existe 29545777-5
[Fila 469] Saltado         : ya existe 28539665-4
[Fila 470] Saltado         : ya existe 14969202-9
[Fila 471] Saltado         : ya existe 24421249-2
[Fila 472] Saltado         : ya existe 14276362-1
[Fila 473] Saltado         : ya existe 11403543-2
[Fila 474] Saltado         : ya existe 20343433-2
[Fila 475] Saltado         : ya existe 22235674-1
[Fila 476] Saltado         : ya existe 36713431-3
[Fila 477] Saltado         : ya existe 38880386-K
[Fila 478] Saltado         : ya existe 11338649-5
[Fila 479] Saltado         : ya existe 22006085-3
[FILA 480] RECHAZADO       : valor no reconocido: False
[Fila 481] Saltado         : ya existe 32886360-K
[FILA 482] RECHAZADO       : RUT inválido
[Fila 483] Saltado         : ya existe 32378571-6
[Fila 484] Saltado         : ya existe 13449181-7
[Fila 485] Saltado         : ya existe 21867485-2
[Fila 486] Saltado         : ya existe 36176357-2
[Fila 487] Saltado         : ya existe 28786573-2
[Fila 488] Saltado         : ya existe 39666637-5
[Fila 489] Saltado         : ya existe 39350488-9
[Fila 490] Saltado         : ya existe 23635762-7
[Fila 491] Saltado         : ya existe 30825944-7
[Fila 492] Saltado         : ya existe 35148295-8
[FILA 493] RECHAZADO       : RUT inválido
[Fila 494] Saltado         : ya existe 17943586-1
[Fila 495] Saltado         : ya existe 39011353-6
[Fila 496] Saltado         : ya existe 15452654-4
[Fila 497] Saltado         : ya existe 36839754-7
[Fila 498] Saltado         : ya existe 37204984-7
[Fila 499] Saltado         : ya existe 15940891-4
[Fila 500] Saltado         : ya existe 39575420-3
[Fila 501] Saltado         : ya existe 23834304-6
[FILA 502] IGNORADO        : fila vacía
[FILA 503] IGNORADO        : fila vacía
[FILA 504] RECHAZADO       : RUT vacío
[FILA 505] RECHAZADO       : RUT vacío
